Epoch [0], train_loss: 0.5381, train_acc: 0.6747, val_loss: 0.5373, val_acc: 0.6695
Epoch [1], train_loss: 0.3953, train_acc: 0.8606, val_loss: 0.3991, val_acc: 0.8585
Epoch [2], train_loss: 0.3314, train_acc: 0.8736, val_loss: 0.3360, val_acc: 0.8745
Epoch [3], train_loss: 0.2655, train_acc: 0.9040, val_loss: 0.2687, val_acc: 0.9075
Epoch [4], train_loss: 0.2505, train_acc: 0.9041, val_loss: 0.2522, val_acc: 0.9050
Epoch [5], train_loss: 0.2412, train_acc: 0.9044, val_loss: 0.2430, val_acc: 0.9050
Epoch [6], train_loss: 0.2212, train_acc: 0.9130, val_loss: 0.2249, val_acc: 0.9140
Epoch [7], train_loss: 0.2062, train_acc: 0.9169, val_loss: 0.2126, val_acc: 0.9140
Epoch [8], train_loss: 0.2026, train_acc: 0.9165, val_loss: 0.2116, val_acc: 0.9170
Epoch [9], train_loss: 0.2007, train_acc: 0.9169, val_loss: 0.2114, val_acc: 0.9140
Epoch [10], train_loss: 0.1927, train_acc: 0.9210, val_loss: 0.2044, val_acc: 0.9170
Epoch [11], train_loss: 0.1828, train_acc: 0.9274, val_loss: 0.1948, val_acc: 0.9225
Epoch [12], train_loss: 0.1768, train_acc: 0.9309, val_loss: 0.1888, val_acc: 0.9265
Epoch [13], train_loss: 0.1744, train_acc: 0.9334, val_loss: 0.1866, val_acc: 0.9240
Epoch [14], train_loss: 0.1710, train_acc: 0.9348, val_loss: 0.1838, val_acc: 0.9240
Epoch [15], train_loss: 0.1648, train_acc: 0.9366, val_loss: 0.1787, val_acc: 0.9275
Epoch [16], train_loss: 0.1579, train_acc: 0.9398, val_loss: 0.1735, val_acc: 0.9320
Epoch [17], train_loss: 0.1533, train_acc: 0.9401, val_loss: 0.1709, val_acc: 0.9345
Epoch [18], train_loss: 0.1506, train_acc: 0.9395, val_loss: 0.1699, val_acc: 0.9335
Epoch [19], train_loss: 0.1470, train_acc: 0.9421, val_loss: 0.1676, val_acc: 0.9345
Epoch [20], train_loss: 0.1418, train_acc: 0.9451, val_loss: 0.1631, val_acc: 0.9360
Epoch [21], train_loss: 0.1369, train_acc: 0.9471, val_loss: 0.1584, val_acc: 0.9365
Epoch [22], train_loss: 0.1335, train_acc: 0.9494, val_loss: 0.1553, val_acc: 0.9380
Epoch [23], train_loss: 0.1309, train_acc: 0.9505, val_loss: 0.1532, val_acc: 0.9390
Epoch [24], train_loss: 0.1276, train_acc: 0.9521, val_loss: 0.1510, val_acc: 0.9410
Epoch [25], train_loss: 0.1234, train_acc: 0.9540, val_loss: 0.1485, val_acc: 0.9415
Epoch [26], train_loss: 0.1195, train_acc: 0.9559, val_loss: 0.1467, val_acc: 0.9430
Epoch [27], train_loss: 0.1166, train_acc: 0.9575, val_loss: 0.1461, val_acc: 0.9440
Epoch [28], train_loss: 0.1140, train_acc: 0.9579, val_loss: 0.1455, val_acc: 0.9435
Epoch [29], train_loss: 0.1110, train_acc: 0.9586, val_loss: 0.1438, val_acc: 0.9450
Epoch [30], train_loss: 0.1077, train_acc: 0.9609, val_loss: 0.1412, val_acc: 0.9450
Epoch [31], train_loss: 0.1048, train_acc: 0.9634, val_loss: 0.1389, val_acc: 0.9485
Epoch [32], train_loss: 0.1025, train_acc: 0.9643, val_loss: 0.1373, val_acc: 0.9465
Epoch [33], train_loss: 0.1002, train_acc: 0.9654, val_loss: 0.1360, val_acc: 0.9470
Epoch [34], train_loss: 0.0975, train_acc: 0.9665, val_loss: 0.1349, val_acc: 0.9485
Epoch [35], train_loss: 0.0947, train_acc: 0.9678, val_loss: 0.1341, val_acc: 0.9495
Epoch [36], train_loss: 0.0923, train_acc: 0.9693, val_loss: 0.1340, val_acc: 0.9495
Epoch [37], train_loss: 0.0902, train_acc: 0.9693, val_loss: 0.1338, val_acc: 0.9495
Epoch [38], train_loss: 0.0879, train_acc: 0.9704, val_loss: 0.1328, val_acc: 0.9485
Epoch [39], train_loss: 0.0853, train_acc: 0.9715, val_loss: 0.1312, val_acc: 0.9490
Epoch [40], train_loss: 0.0831, train_acc: 0.9726, val_loss: 0.1296, val_acc: 0.9490
Epoch [41], train_loss: 0.0811, train_acc: 0.9735, val_loss: 0.1285, val_acc: 0.9490
Epoch [42], train_loss: 0.0790, train_acc: 0.9743, val_loss: 0.1277, val_acc: 0.9495
Epoch [43], train_loss: 0.0766, train_acc: 0.9759, val_loss: 0.1273, val_acc: 0.9495
Epoch [44], train_loss: 0.0743, train_acc: 0.9769, val_loss: 0.1272, val_acc: 0.9495
Epoch [45], train_loss: 0.0723, train_acc: 0.9780, val_loss: 0.1273, val_acc: 0.9495
Epoch [46], train_loss: 0.0703, train_acc: 0.9790, val_loss: 0.1270, val_acc: 0.9495
Epoch [47], train_loss: 0.0682, train_acc: 0.9797, val_loss: 0.1261, val_acc: 0.9505
Epoch [48], train_loss: 0.0661, train_acc: 0.9809, val_loss: 0.1250, val_acc: 0.9490
Epoch [49], train_loss: 0.0642, train_acc: 0.9816, val_loss: 0.1242, val_acc: 0.9490
